ENSG_ID	logFC	Fold Change	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000182013	1.14437378058152	2.21050160312734	6.70287554014876	2.2250588553784	0.0376053611343737	0.108927181013019	-4.27658335654924
ENSG00000164935	-0.874526479988235	-1.83340622877316	5.75548649981716	-2.22474385810262	0.0376296705628109	0.108979374427314	-4.27715955226467
ENSG00000035681	-0.288134040317103	-1.22105995567402	7.0075024381824	-2.22468495567965	0.0376342178607574	0.108979374427314	-4.27726729167527
ENSG00000187097	0.476093639633135	1.3909722512914	6.10787233713106	2.22451795623592	0.0376471130373171	0.109001020773608	-4.27757274389949
ENSG00000122783	0.33250511022698	1.25919796135005	7.3723907109696	2.2244112565663	0.0376553541684295	0.109009187804993	-4.27776789696885
ENSG00000136933	0.230636572816074	1.17335256353202	6.36752536325443	2.22429075541849	0.0376646632636307	0.109011270602666	-4.27798828613843
ENSG00000028277	0.259351183111507	1.19694028887239	6.46667432992419	2.22423403584194	0.0376690457588135	0.109011270602666	-4.2780920202785
ENSG00000167916	0.222329578054208	1.16661584818894	4.37461869085861	2.22419146848495	0.0376723350747616	0.109011270602666	-4.27816987045957
ENSG00000107077	0.43568778701889	1.35255549345338	6.2808418636431	2.22410865555636	0.0376787350473352	0.109014104522653	-4.27832132202719
ENSG00000126062	-0.232014799876121	-1.17447401948466	7.95762130705716	-2.2236031567797	0.0377178227085108	0.109111497769111	-4.27924572519219
ENSG00000034677	-0.246152225572251	-1.1860396374565	8.220116545932	-2.22349748851159	0.0377259981842272	0.109119451960735	-4.27943894437812
ENSG00000114626	-0.22843752380071	-1.17156542610807	6.33060087343905	-2.22340868812294	0.037732869857427	0.109123633261823	-4.27960131564422
ENSG00000278192	0.12701269375314	1.0920301540827	3.18275243934913	2.22292226581219	0.0377705311609627	0.109216844310298	-4.28049066874566
ENSG00000204688	0.134071541799021	1.09738635451785	4.18699055506184	2.22265178626544	0.0377914879358414	0.109261732874886	-4.28098515130465
ENSG00000272491	0.199041527322121	1.14793545618067	5.48383423547435	2.22244013506704	0.0378078940990282	0.109293453819973	-4.28137206056457
ENSG00000156234	2.19543133752964	4.58026584738282	7.1977774848941	2.22193790693122	0.0378468504210122	0.109390343319485	-4.28229007123349
ENSG00000176049	-0.250147491014101	-1.18932869740538	4.31078438959184	-2.22115104792807	0.03790795848531	0.109534800543559	-4.28372810229829
ENSG00000184985	0.372399038437739	1.29450365480183	6.77062004314988	2.22112238264275	0.0379101863547113	0.109534800543559	-4.28378048404001
ENSG00000272922	0.174615425266425	1.12866350038059	4.54428694108579	2.22108400522087	0.0379131692399043	0.109534800543559	-4.28385061270015
ENSG00000163728	0.386264601942271	1.30700494719298	7.72361652600454	2.22077714986889	0.0379370272892473	0.109572420902238	-4.28441131618392
ENSG00000165188	0.743200488420824	1.67388508563959	5.32400386672861	2.22077637565967	0.0379370875014808	0.109572420902238	-4.28441273080424
ENSG00000004779	0.394318946853117	1.31432216158063	11.7938608941868	2.22055334011484	0.0379544371847523	0.10960679009514	-4.28482024481358
ENSG00000196646	-0.505148783265915	-1.41926971609589	7.49591180552158	-2.21974343368429	0.0380174998914521	0.109773142902655	-4.28629983981575
ENSG00000138413	0.660254443348245	1.580361322244	11.7881546879619	2.21932134456358	0.0380504034642573	0.109852377845202	-4.28707081434286
ENSG00000135314	0.178012812918957	1.13132451036425	3.83866464724328	2.21918850819673	0.0380607639851593	0.109866517081318	-4.28731343085393
ENSG00000102910	0.339998032964457	1.26575486818178	7.98050642081982	2.21899867786334	0.0380755742030505	0.109893494947983	-4.28766012784232
ENSG00000171798	-0.256826729997886	-1.1948476931032	6.15965385538713	-2.21879870702756	0.0380911812605612	0.109917862752816	-4.28802532574742
ENSG00000070961	-0.436627232643966	-1.35343652936376	8.39386501136687	-2.21870118366208	0.038098794754949	0.109917862752816	-4.288203421212
ENSG00000118402	0.397393515194962	1.31712613759166	4.37454004394802	2.21868044759474	0.0381004137660923	0.109917862752816	-4.28824128845113
ENSG00000102174	-0.357772766768866	-1.28144607272489	5.78223662743512	-2.21836818704034	0.0381248017550495	0.10997244522315	-4.28881149848173
ENSG00000204175	-0.440532967928406	-1.35710558387827	6.21184033920136	-2.21817246980547	0.0381400948185134	0.110000781140847	-4.2891688675937
ENSG00000117751	0.206888231009961	1.15419599576496	9.87869572083236	2.21724847215231	0.0382123703995135	0.110193430040811	-4.29085578231622
ENSG00000149480	0.343681430200045	1.26899064194847	5.38940789362529	2.21715823346066	0.0382194356209966	0.110198002834962	-4.29102050580492
ENSG00000167114	0.293809875146573	1.22587329830056	7.42192916512059	2.21702561473401	0.0382298211454981	0.110206561822713	-4.29126258335361
ENSG00000130751	0.211486176158401	1.15788034724067	6.15985984722888	2.2169803825151	0.0382333639220857	0.110206561822713	-4.29134514666652
ENSG00000145348	0.375833240660107	1.29758877158522	8.96524179982505	2.21621661764506	0.0382932304956463	0.11036330732272	-4.29273911012373
ENSG00000119004	-0.349732488487312	-1.27432431401498	7.49255293344424	-2.21603896881756	0.038307167506332	0.110387655211326	-4.29306329948058
ENSG00000149781	-0.643613980347325	-1.56223769892264	8.3444834064247	-2.21593303645007	0.0383154803804431	0.110395791680672	-4.29325660685487
ENSG00000184108	0.153696659004913	1.11241619941299	4.82642498113296	2.2155072072528	0.0383489132804771	0.11047629207616	-4.29403361205376
ENSG00000166342	0.221896634214688	1.16626580652922	3.6282341289271	2.21534544536669	0.0383616205884318	0.110497034838357	-4.29432875346328
ENSG00000146700	0.218726974692887	1.16370628596233	6.25207093497265	2.21527567926619	0.0383671022960692	0.110497034838357	-4.29445604067705
ENSG00000138138	-0.327409767941367	-1.2547585423463	8.2391464846486	-2.21516624314936	0.0383757024237903	0.110505978156479	-4.2946557004013
ENSG00000118454	-0.238999238660683	-1.18017372053452	7.31878822185353	-2.2150218052647	0.0383870558904168	0.110511969576878	-4.29491920972172
ENSG00000111077	-0.731147851530473	-1.65995927985676	8.76742758017662	-2.21499996015245	0.0383887732814912	0.110511969576878	-4.29495906256962
ENSG00000153531	0.330670131751607	1.25759739277934	5.99038483756556	2.21458173085973	0.0384216666350878	0.110590831214863	-4.29572200828735
ENSG00000116176	0.191658174566366	1.1420756167194	7.14768987311748	2.21407436204741	0.0384616052922153	0.110667362104178	-4.29664744876764
ENSG00000204296	0.141867953748423	1.10333275014643	3.44523784994023	2.21406027771395	0.0384627145124144	0.110667362104178	-4.29667313676975
ENSG00000279816	0.119997600191054	1.08673305483018	3.15734990568489	2.21403426016155	0.0384647636173339	0.110667362104178	-4.29672058916144
ENSG00000102032	-0.46930844586838	-1.38444567666084	6.98835449755978	-2.21395084014867	0.0384713343297278	0.11067043408742	-4.29687273338843
ENSG00000004142	0.295269051642565	1.22711380329886	8.87635292411867	2.21384352268959	0.038479788871069	0.110676757114079	-4.29706845752068
ENSG00000267152	0.278229541567454	1.21270575258386	4.90557313183924	2.21378323736376	0.0384845389338547	0.110676757114079	-4.29717840258511
ENSG00000086696	1.39660029083097	2.63280430545216	5.91451138227772	2.21310735058612	0.0385378307683517	0.110790817064545	-4.29841092468753
ENSG00000100739	0.477388671141973	1.39222141454083	5.88110118941104	2.21308889697477	0.0385392867302422	0.110790817064545	-4.2984445728404
ENSG00000166887	-0.238426317229182	-1.17970514432079	8.62633952071612	-2.21307064572443	0.0385407267755734	0.110790817064545	-4.29847785184424
ENSG00000265158	0.128459190604955	1.0931256110506	3.35001895792394	2.21275315371535	0.0385657851368722	0.110847006558187	-4.29905673472772
ENSG00000174007	-0.332660962703077	-1.2593339982222	6.20179135949438	-2.21265222949663	0.0385737537939588	0.110850433522115	-4.29924073931204
